Date,BTC_dir,trade,bit_inv_value,bit_inv_value_sl,ret_value_b,ret_value_b_sl
2021-04-01,1.0,0,10000.0,10000.0,,
2021-04-05,0.0,0,10000.0,10000.0,,
2021-04-06,0.0,1,9853.45,9853.45,,
2021-04-07,0.0,0,9853.45,9853.45,,
2021-04-08,1.0,1,10253.4,10253.4,,
2021-04-09,0.0,1,10239.52,10239.52,,
2021-04-12,1.0,0,10239.52,10239.52,,
2021-04-13,1.0,0,10239.52,10239.52,,
2021-04-14,0.0,0,10239.52,10239.52,,
2021-04-15,1.0,0,10239.52,10239.52,,
2021-04-16,0.0,0,10239.52,10239.52,,
2021-04-19,0.0,0,10239.52,10239.52,,
2021-04-20,1.0,0,10239.52,10239.52,,
2021-04-21,0.0,-1,10704.95,10704.95,,
2021-04-22,0.0,0,10704.95,10704.95,,
2021-04-23,0.0,0,10704.95,10704.95,,
2021-04-26,1.0,0,10704.95,10704.95,,
2021-04-27,1.0,0,10704.95,10704.95,,
2021-04-28,0.0,0,10704.95,10704.95,,
2021-04-29,0.0,0,10704.95,10704.95,,
2021-04-30,1.0,1,11543.48,11543.48,1543.4799999999996,1543.4799999999996
2021-05-03,0.0,-1,11653.4,11653.4,,
2021-05-04,0.0,0,11653.4,11653.4,,
2021-05-05,1.0,0,11653.4,11653.4,,
2021-05-06,0.0,0,11653.4,11653.4,,
2021-05-07,1.0,1,11851.74,11851.74,,
2021-05-10,0.0,0,11851.74,11851.74,,
2021-05-11,1.0,0,11851.74,11851.74,,
2021-05-12,0.0,-1,13430.6,13430.6,,
2021-05-13,1.0,1,13585.17,13585.17,,
2021-05-14,1.0,0,13585.17,13585.17,,
2021-05-17,0.0,-1,15312.72,15312.72,,
2021-05-18,0.0,1,15091.8,15091.8,,
2021-05-19,0.0,0,15091.8,15091.8,,
2021-05-20,1.0,0,15091.8,15091.8,,
2021-05-21,0.0,0,15091.8,15091.8,,
2021-05-24,1.0,1,15658.7,15658.7,,
2021-05-25,0.0,0,15658.7,15658.7,,
2021-05-26,1.0,0,15658.7,15658.7,,
2021-05-27,0.0,-1,16000.31,16000.31,,
2021-05-28,0.0,1,14859.98,15200.29,4859.98,5200.290000000001
2021-06-01,0.0,0,14859.98,15200.29,,
2021-06-02,1.0,1,15220.6,15569.17,,
2021-06-03,1.0,0,15220.6,15569.17,,
2021-06-04,0.0,0,15220.6,15569.17,,
2021-06-07,0.0,0,15220.6,15569.17,,
2021-06-08,0.0,1,15180.65,15528.31,,
2021-06-09,1.0,1,16936.92,17324.8,,
2021-06-10,0.0,-1,17228.32,17622.87,,
2021-06-11,1.0,0,17228.32,17622.87,,
2021-06-14,1.0,0,17228.32,17622.87,,
2021-06-15,1.0,0,17228.32,17622.87,,
2021-06-16,0.0,-1,18106.32,18520.98,,
2021-06-17,0.0,0,18106.32,18520.98,,
2021-06-18,0.0,0,18106.32,18520.98,,
2021-06-21,0.0,0,18106.32,18520.98,,
2021-06-22,1.0,1,18580.16,19005.66,,
2021-06-23,1.0,0,18580.16,19005.66,,
2021-06-24,1.0,0,18580.16,19005.66,,
2021-06-25,0.0,-1,20201.47,20664.1,,
2021-06-28,1.0,0,20201.47,20664.1,,
2021-06-29,1.0,-1,19360.52,19803.89,,
2021-06-30,0.0,-1,19806.88,20260.48,9806.880000000001,10260.48
2021-07-01,0.0,0,19806.88,20260.48,,
2021-07-02,1.0,1,19998.58,20456.57,,
2021-07-06,1.0,1,20288.48,20753.11,,
2021-07-07,0.0,-1,20513.6,20983.39,,
2021-07-08,0.0,1,19921.04,20377.25,,
2021-07-09,1.0,0,19921.04,20377.25,,
2021-07-12,0.0,0,19921.04,20377.25,,
2021-07-13,0.0,0,19921.04,20377.25,,
2021-07-14,1.0,1,19994.33,20452.23,,
2021-07-15,0.0,-1,20628.86,21101.28,,
2021-07-16,0.0,0,20628.86,21101.28,,
2021-07-19,0.0,1,20232.51,20695.86,,
2021-07-20,0.0,0,20232.51,20695.86,,
2021-07-21,1.0,0,20232.51,20695.86,,
2021-07-22,1.0,0,20232.51,20695.86,,
2021-07-23,1.0,0,20232.51,20695.86,,
2021-07-26,1.0,-1,17969.57,19661.06,,
2021-07-27,1.0,0,17969.57,19661.06,,
2021-07-28,1.0,0,17969.57,19661.06,,
2021-07-29,1.0,0,17969.57,19661.06,,
2021-07-30,1.0,0,17969.57,19661.06,7969.57,9661.060000000001
2021-08-02,0.0,-1,19260.25,21073.24,,
2021-08-03,0.0,0,19260.25,21073.24,,
2021-08-04,1.0,1,20065.19,21953.95,,
2021-08-05,1.0,0,20065.19,21953.95,,
2021-08-06,1.0,0,20065.19,21953.95,,
2021-08-09,1.0,0,20065.19,21953.95,,
2021-08-10,0.0,0,20065.19,21953.95,,
2021-08-11,1.0,0,20065.19,21953.95,,
2021-08-12,0.0,0,20065.19,21953.95,,
2021-08-13,1.0,0,20065.19,21953.95,,
2021-08-16,0.0,0,20065.19,21953.95,,
2021-08-17,0.0,0,20065.19,21953.95,,
2021-08-18,1.0,0,20065.19,21953.95,,
2021-08-19,1.0,0,20065.19,21953.95,,
2021-08-20,1.0,0,20065.19,21953.95,,
2021-08-23,1.0,1,20149.36,22046.04,,
2021-08-24,0.0,0,20149.36,22046.04,,
2021-08-25,1.0,0,20149.36,22046.04,,
2021-08-26,0.0,0,20149.36,22046.04,,
2021-08-27,1.0,0,20149.36,22046.04,,
2021-08-30,0.0,0,20149.36,22046.04,,
2021-08-31,1.0,1,20197.19,22098.38,10197.189999999999,12098.380000000001
2021-09-01,1.0,0,20197.19,22098.38,,
2021-09-02,1.0,0,20197.19,22098.38,,
2021-09-03,1.0,1,20482.85,22410.92,,
2021-09-07,0.0,0,20482.85,22410.92,,
2021-09-08,0.0,0,20482.85,22410.92,,
2021-09-09,1.0,0,20482.85,22410.92,,
2021-09-10,0.0,1,19817.25,21682.66,,
2021-09-13,1.0,0,19817.25,21682.66,,
2021-09-14,1.0,1,20755.78,22709.54,,
2021-09-15,1.0,0,20755.78,22709.54,,
2021-09-16,0.0,0,20755.78,22709.54,,
2021-09-17,0.0,1,20531.71,22464.38,,
2021-09-20,0.0,0,20531.71,22464.38,,
2021-09-21,0.0,0,20531.71,22464.38,,
2021-09-22,1.0,0,20531.71,22464.38,,
2021-09-23,1.0,1,21153.96,23145.2,,
2021-09-24,0.0,1,20185.5,22085.58,,
2021-09-27,0.0,1,19900.9,21774.19,,
2021-09-28,0.0,0,19900.9,21774.19,,
2021-09-29,1.0,1,20157.85,22055.33,,
2021-09-30,1.0,1,21237.67,23236.79,11237.669999999998,13236.79
2021-10-01,1.0,0,21237.67,23236.79,,
