Date,gold_dir,trade,gold_inv_value,gold_inv_value_sl,ret_value_g,ret_value_g_sl
2021-03-31,1.0,0,10000.0,10000.0,,
2021-04-01,1.0,0,10000.0,10000.0,,
2021-04-05,1.0,1,10002.31,10002.31,,
2021-04-06,1.0,1,10084.96,10084.96,,
2021-04-07,0.0,0,10084.96,10084.96,,
2021-04-08,1.0,1,10181.55,10181.55,,
2021-04-09,0.0,0,10181.55,10181.55,,
2021-04-12,0.0,-1,10252.66,10252.66,,
2021-04-13,1.0,0,10252.66,10252.66,,
2021-04-14,0.0,-1,10318.88,10318.88,,
2021-04-15,1.0,1,10500.54,10500.54,,
2021-04-16,1.0,1,10580.09,10580.09,,
2021-04-19,0.0,0,10580.09,10580.09,,
2021-04-20,1.0,0,10580.09,10580.09,,
2021-04-21,1.0,0,10580.09,10580.09,,
2021-04-22,0.0,0,10580.09,10580.09,,
2021-04-23,0.0,1,10555.77,10555.77,,
2021-04-26,1.0,0,10555.77,10555.77,,
2021-04-27,0.0,1,10548.07,10548.07,,
2021-04-28,0.0,-1,10577.09,10577.09,,
2021-04-29,0.0,0,10577.09,10577.09,,
2021-04-30,0.0,0,10577.09,10577.09,577.0900000000001,577.0900000000001
2021-05-03,1.0,0,10577.09,10577.09,,
2021-05-04,0.0,1,10483.94,10483.94,,
2021-05-05,1.0,1,10532.88,10532.88,,
2021-05-06,1.0,0,10532.88,10532.88,,
2021-05-07,1.0,1,10623.26,10623.26,,
2021-05-10,1.0,0,10623.26,10623.26,,
2021-05-11,0.0,1,10613.45,10613.45,,
2021-05-12,0.0,0,10613.45,10613.45,,
2021-05-13,1.0,-1,10605.88,10605.88,,
2021-05-14,1.0,0,10605.88,10605.88,,
2021-05-17,1.0,0,10605.88,10605.88,,
2021-05-18,1.0,-1,10603.05,10603.05,,
2021-05-19,1.0,0,10603.05,10603.05,,
2021-05-20,1.0,0,10603.05,10603.05,,
2021-05-21,0.0,0,10603.05,10603.05,,
2021-05-24,1.0,0,10603.05,10603.05,,
2021-05-25,1.0,0,10603.05,10603.05,,
2021-05-26,1.0,0,10603.05,10603.05,,
2021-05-27,0.0,-1,10632.57,10632.57,,
2021-05-28,1.0,1,10670.65,10670.65,670.6499999999996,670.6499999999996
2021-06-01,0.0,0,10670.65,10670.65,,
2021-06-02,1.0,1,10698.1,10698.1,,
2021-06-03,0.0,0,10698.1,10698.1,,
2021-06-04,1.0,-1,10591.3,10591.3,,
2021-06-07,1.0,0,10591.3,10591.3,,
2021-06-08,0.0,-1,10615.85,10615.85,,
2021-06-09,1.0,1,10622.01,10622.01,,
2021-06-10,1.0,0,10622.01,10622.01,,
2021-06-11,0.0,1,10527.91,10527.91,,
2021-06-14,0.0,0,10527.91,10527.91,,
2021-06-15,0.0,-1,10581.51,10581.51,,
2021-06-16,1.0,1,10610.01,10610.01,,
2021-06-17,0.0,0,10610.01,10610.01,,
2021-06-18,0.0,0,10610.01,10610.01,,
2021-06-21,1.0,0,10610.01,10610.01,,
2021-06-22,0.0,0,10610.01,10610.01,,
2021-06-23,1.0,1,10645.83,10645.83,,
2021-06-24,0.0,0,10645.83,10645.83,,
2021-06-25,1.0,1,10652.42,10652.42,,
2021-06-28,1.0,1,10669.8,10669.8,,
2021-06-29,0.0,-1,10772.26,10772.26,,
2021-06-30,1.0,0,10772.26,10772.26,772.2600000000002,772.2600000000002
2021-07-01,1.0,0,10772.26,10772.26,,
2021-07-02,1.0,1,10811.67,10811.67,,
2021-07-06,1.0,1,10829.17,10829.17,,
2021-07-07,1.0,1,10876.85,10876.85,,
2021-07-08,0.0,0,10876.85,10876.85,,
2021-07-09,1.0,0,10876.85,10876.85,,
2021-07-12,0.0,-1,10905.09,10905.09,,
2021-07-13,1.0,1,10929.24,10929.24,,
2021-07-14,1.0,0,10929.24,10929.24,,
2021-07-15,1.0,1,10953.19,10953.19,,
2021-07-16,0.0,1,10869.35,10869.35,,
2021-07-19,0.0,1,10834.62,10834.62,,
2021-07-20,1.0,-1,10821.45,10821.45,,
2021-07-21,0.0,1,10773.65,10773.65,,
2021-07-22,1.0,1,10785.6,10785.6,,
2021-07-23,0.0,-1,10807.11,10807.11,,
2021-07-26,0.0,-1,10822.7,10822.7,,
2021-07-27,1.0,0,10822.7,10822.7,,
2021-07-28,1.0,0,10822.7,10822.7,,
2021-07-29,1.0,1,11009.82,11009.82,,
2021-07-30,0.0,0,11009.82,11009.82,1009.8199999999997,1009.8199999999997
2021-08-02,1.0,0,11009.82,11009.82,,
2021-08-03,0.0,0,11009.82,11009.82,,
2021-08-04,1.0,1,11012.24,11012.24,,
2021-08-05,0.0,1,10978.26,10978.26,,
2021-08-06,0.0,0,10978.26,10978.26,,
2021-08-09,0.0,1,10750.36,10868.48,,
2021-08-10,1.0,0,10750.36,10868.48,,
2021-08-11,1.0,0,10750.36,10868.48,,
2021-08-12,0.0,-1,10759.56,10877.77,,
2021-08-13,1.0,0,10759.56,10877.77,,
2021-08-16,1.0,0,10759.56,10877.77,,
2021-08-17,0.0,-1,10771.58,10889.93,,
2021-08-18,0.0,1,10751.1,10869.22,,
2021-08-19,0.0,-1,10758.93,10877.14,,
2021-08-20,1.0,1,10764.36,10882.63,,
2021-08-23,1.0,0,10764.36,10882.63,,
2021-08-24,1.0,0,10764.36,10882.63,,
2021-08-25,0.0,0,10764.36,10882.63,,
2021-08-26,1.0,0,10764.36,10882.63,,
2021-08-27,1.0,-1,10618.65,10773.8,,
2021-08-30,0.0,0,10618.65,10773.8,,
2021-08-31,1.0,0,10618.65,10773.8,618.6499999999996,773.7999999999993
2021-09-01,0.0,-1,10630.92,10786.25,,
2021-09-02,0.0,0,10630.92,10786.25,,
2021-09-03,1.0,1,10761.2,10918.43,,
2021-09-07,0.0,0,10761.2,10918.43,,
2021-09-08,0.0,-1,10791.12,10948.79,,
